#,File Number,Trade Name,Corp Name,Business Status,Address,City,State,Zip,Mail Address,Mail City,Mail State,Mail Zip,County,Permit Number,Issue Date,Permit Status
,00194774CM-998,Birdsong Brewing Company,Birdsong Brewing LLC,Active,1016 North Davidson Street,Charlotte,,28206,PO Box 790902,Charlotte,NC ,28206,Mecklenburg,00227596DG,11/25/2015 9:55,Active
173,00195774CM-999,Muddy River Distillery,Muddy River Distillery LLC,Active,1500 River Drive Suite 100,Belmont,,28012,,,,,Gaston,00195774SE,7/27/2017 12:31,Active
,00195774CM-999,Muddy River Distillery,Muddy River Distillery LLC,Active,1500 River Drive Suite 100,Belmont,,28012,,,,,Gaston,00195774DI,5/21/2012,Active
174,00195939CM-999,Mystery Brewing Company,Mystery Brewing Company LLC,Cancelled,437 Dimmocks Mill Road Suite 41,Hillsborough,,27278,,,,,Orange,00195939BM,5/2/2012,Cancelled
,00195939CM-999,Mystery Brewing Company,Mystery Brewing Company LLC,Cancelled,437 Dimmocks Mill Road Suite 41,Hillsborough,,27278,,,,,Orange,00195939DG,5/2/2012,Cancelled
,00195939CM-999,Mystery Brewing Company,Mystery Brewing Company LLC,Cancelled,437 Dimmocks Mill Road Suite 41,Hillsborough,,27278,,,,,Orange,00195939BW,5/2/2012,Cancelled
175,00196142CM-999,Top of the Hill Distillery,Top Spirits LLC,Active,505-C West Franklin Street,Chapel Hill,,27516,,,,,Orange,00196142SE,8/17/2017 12:36,Active
,00196142CM-999,Top of the Hill Distillery,Top Spirits LLC,Active,505-C West Franklin Street,Chapel Hill,,27516,,,,,Orange,00196142DI,8/15/2012,Active
176,00196210CM-999,St Paul Vineyards,St Paul Vineyards LLC,Active,588 Chestnut Gap Road,Hendersonville,,28792,PO Box 118,Flat Rock,NC ,28731,Henderson,00196210DI,6/14/2018,Active
,00196210CM-999,St Paul Vineyards,St Paul Vineyards LLC,Active,588 Chestnut Gap Road,Hendersonville,,28792,PO Box 118,Flat Rock,NC ,28731,Henderson,00196210FW,6/14/2018,Active
,00196210CM-999,St Paul Vineyards,St Paul Vineyards LLC,Active,588 Chestnut Gap Road,Hendersonville,,28792,PO Box 118,Flat Rock,NC ,28731,Henderson,00196210UW,10/5/2012,Active
,00196210CM-999,St Paul Vineyards,St Paul Vineyards LLC,Active,588 Chestnut Gap Road,Hendersonville,,28792,PO Box 118,Flat Rock,NC ,28731,Henderson,00196210DS,10/5/2012,Active
,00196210CM-999,St Paul Vineyards,St Paul Vineyards LLC,Active,588 Chestnut Gap Road,Hendersonville,,28792,PO Box 118,Flat Rock,NC ,28731,Henderson,00196210WE,10/5/2012,Active
,00196210CM-999,St Paul Vineyards,St Paul Vineyards LLC,Active,588 Chestnut Gap Road,Hendersonville,,28792,PO Box 118,Flat Rock,NC ,28731,Henderson,00196210WW,10/5/2012,Active
177,00196428CM-999,Sub Noir Brewing Company,Sub Noir Brewing Company LLC,Active,2039 Progress Court,Raleigh,,27608,,,,,Wake,00196428BW,11/2/2012,Active
,00196428CM-999,Sub Noir Brewing Company,Sub Noir Brewing Company LLC,Active,2039 Progress Court,Raleigh,,27608,,,,,Wake,00196428BM,11/2/2012,Active
178,00196454CM-999,Windsor Run Cellars,Windsor Run Cellars Inc,Active,6531 Windsor Road,Hamptonville,,27020,PO Box 2352,Advance,NC ,27006,Yadkin,00196454DH,6/4/2018 15:44,Active
,00196454CM-999,Windsor Run Cellars,Windsor Run Cellars Inc,Active,6531 Windsor Road,Hamptonville,,27020,PO Box 2352,Advance,NC ,27006,Yadkin,00196454SE,6/4/2018 15:44,Active
,00196454CM-999,Windsor Run Cellars,Windsor Run Cellars Inc,Active,6531 Windsor Road,Hamptonville,,27020,PO Box 2352,Advance,NC ,27006,Yadkin,00196454WW,8/20/2012,Active
,00196454CM-999,Windsor Run Cellars,Windsor Run Cellars Inc,Active,6531 Windsor Road,Hamptonville,,27020,PO Box 2352,Advance,NC ,27006,Yadkin,00196454WE,8/20/2012,Active
,00196454CM-999,Windsor Run Cellars,Windsor Run Cellars Inc,Active,6531 Windsor Road,Hamptonville,,27020,PO Box 2352,Advance,NC ,27006,Yadkin,00196454DS,8/20/2012,Active
,00196454CM-999,Windsor Run Cellars,Windsor Run Cellars Inc,Active,6531 Windsor Road,Hamptonville,,27020,PO Box 2352,Advance,NC ,27006,Yadkin,00196454UW,8/20/2012,Active
,00196454CM-999,Windsor Run Cellars,Windsor Run Cellars Inc,Active,6531 Windsor Road,Hamptonville,,27020,PO Box 2352,Advance,NC ,27006,Yadkin,00196454DI,11/2/2012,Active
,00196454CM-999,Windsor Run Cellars,Windsor Run Cellars Inc,Active,6531 Windsor Road,Hamptonville,,27020,PO Box 2352,Advance,NC ,27006,Yadkin,00196454FW,8/20/2012,Active
179,00196687CM-999,Brevard Brewing Company,Brevard Brewing Company LLC,Active,63 East Main Street,Brevard,,28712,,,,,Transylvania,00196687BW,5/31/2012,Active
,00196687CM-999,Brevard Brewing Company,Brevard Brewing Company LLC,Active,63 East Main Street,Brevard,,28712,,,,,Transylvania,00196687BM,5/31/2012,Active
180,00196853CM-999,Blue Ridge Distilling Company,Blue Ridge Distilling Company Inc,Active,228 Redbud Lane,Bostic,,28018,,,,,Rutherford,00196853DI,5/31/2012,Active
,00196853CM-999,Blue Ridge Distilling Company,Blue Ridge Distilling Company Inc,Active,228 Redbud Lane,Bostic,,28018,,,,,Rutherford,00196853SE,8/9/2017 8:44,Active
,00196853CM-999,Blue Ridge Distilling Company,Blue Ridge Distilling Company Inc,Active,228 Redbud Lane,Bostic,,28018,,,,,Rutherford,00196853DH,5/31/2012,Active
181,00197011CM-999,BearWaters Brewing Company,BearWaters Brewing Company,Cancelled,130 Frazier Street Suite 7,Waynesville,,28786,,,,,Haywood,00197011DG,8/31/2012,Cancelled
,00197011CM-999,BearWaters Brewing Company,BearWaters Brewing Company,Cancelled,130 Frazier Street Suite 7,Waynesville,,28786,,,,,Haywood,00197011BM,8/31/2012,Cancelled
,00197011CM-999,BearWaters Brewing Company,BearWaters Brewing Company,Cancelled,130 Frazier Street Suite 7,Waynesville,,28786,,,,,Haywood,00197011BW,8/31/2012,Cancelled
182,00198855CM-999,Mash House,Tribeca Hospitality LLC,Cancelled,4150 Sycamore Dairy Road,Fayetteville,,28303,,,,,Cumberland,00198855DG,11/21/2013,Cancelled
,00198855CM-999,Mash House,Tribeca Hospitality LLC,Cancelled,4150 Sycamore Dairy Road,Fayetteville,,28303,,,,,Cumberland,00198855BW,11/21/2013,Cancelled
,00198855CM-999,Mash House,Tribeca Hospitality LLC,Cancelled,4150 Sycamore Dairy Road,Fayetteville,,28303,,,,,Cumberland,00198855BM,11/21/2013,Cancelled
183,00199864CM-999,Peaks and Creeks Brewing Co,Tipping Point Tavern LLC,Cancelled,190 North Main Street,Waynesville,,28786,45 Short Street,Waynesville,NC ,28786,Haywood,00199864BW,10/5/2012,Cancelled
,00199864CM-999,Peaks and Creeks Brewing Co,Tipping Point Tavern LLC,Cancelled,190 North Main Street,Waynesville,,28786,45 Short Street,Waynesville,NC ,28786,Haywood,00199864BM,10/5/2012,Cancelled
,00199864CM-999,Peaks and Creeks Brewing Co,Tipping Point Tavern LLC,Cancelled,190 North Main Street,Waynesville,,28786,45 Short Street,Waynesville,NC ,28786,Haywood,00199864DG,8/12/2015 15:14,Cancelled
184,00200144CM-999,Toe River Lodge Blind Squirrel Brewery,"Roy Cleveland Young, ",Cancelled,4716 South US Hwy 19 East Units A and C,Plumtree,,28664,PO Box 173,Plumtree,NC ,28664,Avery,00200144DG,10/8/2012,Cancelled
,00200144CM-999,Toe River Lodge Blind Squirrel Brewery,"Roy Cleveland Young, ",Cancelled,4716 South US Hwy 19 East Units A and C,Plumtree,,28664,PO Box 173,Plumtree,NC ,28664,Avery,00200144BW,10/8/2012,Cancelled
,00200144CM-999,Toe River Lodge Blind Squirrel Brewery,"Roy Cleveland Young, ",Cancelled,4716 South US Hwy 19 East Units A and C,Plumtree,,28664,PO Box 173,Plumtree,NC ,28664,Avery,00200144BM,10/8/2012,Cancelled
185,00200681CM-999,White Street Brewing Company,White Street Brewing Company Inc,Active,218 South White Street,Wake Forest,,27587,PO Box 2066,Wake Forest,NC ,27588,Wake,00200681BM,10/5/2012,Active
,00200681CM-999,White Street Brewing Company,White Street Brewing Company Inc,Active,218 South White Street,Wake Forest,,27587,PO Box 2066,Wake Forest,NC ,27588,Wake,00200681BW,10/5/2012,Active
,00200681CM-999,White Street Brewing Company,White Street Brewing Company Inc,Active,218 South White Street,Wake Forest,,27587,PO Box 2066,Wake Forest,NC ,27588,Wake,00200681DG,10/5/2012,Active
186,00200681CM-998,White Street Brewing Company,White Street Brewing Company Inc,Active,400 Park Avenue,Youngsville,,27596,PO Box 2066,Wake Forest,NC ,27588,Franklin,00230763DG,9/9/2016 12:11,Active
,00200681CM-998,White Street Brewing Company,White Street Brewing Company Inc,Active,400 Park Avenue,Youngsville,,27596,PO Box 2066,Wake Forest,NC ,27588,Franklin,00230763BW,9/9/2016 12:11,Active
,00200681CM-998,White Street Brewing Company,White Street Brewing Company Inc,Active,400 Park Avenue,Youngsville,,27596,PO Box 2066,Wake Forest,NC ,27588,Franklin,00230763BM,9/9/2016 12:11,Active
187,00200700CM-999,Covington Spirits,Covington Spirits LLC,Active,310 Kingold Blvd,Snow Hill,,28580,3647 Edgemont Drive,Raleigh,NC ,27612,Greene,00200700DI,12/10/2012,Active
,00200700CM-999,Covington Spirits,Covington Spirits LLC,Active,310 Kingold Blvd,Snow Hill,,28580,3647 Edgemont Drive,Raleigh,NC ,27612,Greene,00200700SE,9/12/2017 9:24,Active
188,00200787CM-999,Starpoint Brewing,Starpoint Brewing LLC,Active,901 Clarence Drive,Chapel Hill,,27516,,,,,Orange,00200787DG,9/25/2013,Active
,00200787CM-999,Starpoint Brewing,Starpoint Brewing LLC,Active,901 Clarence Drive,Chapel Hill,,27516,,,,,Orange,00200787BW,10/5/2012,Active
,00200787CM-999,Starpoint Brewing,Starpoint Brewing LLC,Active,901 Clarence Drive,Chapel Hill,,27516,,,,,Orange,00200787BM,10/5/2012,Active
189,00200787CM-998,Starpoint Brewing,Starpoint Brewing LLC,Active,2501 University Drive Space 9,Durham,,27707,901 Clarence Drive,Chapel Hill,NC ,27516,Durham,00248323BW,10/18/2017 8:53,Active
,00200787CM-998,Starpoint Brewing,Starpoint Brewing LLC,Active,2501 University Drive Space 9,Durham,,27707,901 Clarence Drive,Chapel Hill,NC ,27516,Durham,00248323BM,10/18/2017 8:53,Active
,00200787CM-998,Starpoint Brewing,Starpoint Brewing LLC,Active,2501 University Drive Space 9,Durham,,27707,901 Clarence Drive,Chapel Hill,NC ,27516,Durham,00248323DG,10/18/2017 8:53,Active
190,00200972CM-999,Howard Brewing Company,Howard Brewing Company,Cancelled,1001 West Avenue Suite A,Lenoir,,28645,1049 19th Avenue Place NW,Hickory,NC ,28601,Caldwell,00200972BM,10/5/2012,Cancelled
,00200972CM-999,Howard Brewing Company,Howard Brewing Company,Cancelled,1001 West Avenue Suite A,Lenoir,,28645,1049 19th Avenue Place NW,Hickory,NC ,28601,Caldwell,00200972BW,10/5/2012,Cancelled
,00200972CM-999,Howard Brewing Company,Howard Brewing Company,Cancelled,1001 West Avenue Suite A,Lenoir,,28645,1049 19th Avenue Place NW,Hickory,NC ,28601,Caldwell,00200972DG,10/5/2012,Cancelled
191,00201172CM-999,White Rabbit Brewing Company,White Rabbit Brewing Company Inc,Active,207 Fish Drive,Angier,,27501,,,,,Harnett,00201172DG,7/15/2013,Active
,00201172CM-999,White Rabbit Brewing Company,White Rabbit Brewing Company Inc,Active,207 Fish Drive,Angier,,27501,,,,,Harnett,00201172BW,7/15/2013,Active
,00201172CM-999,White Rabbit Brewing Company,White Rabbit Brewing Company Inc,Active,207 Fish Drive,Angier,,27501,,,,,Harnett,00201172BM,7/15/2013,Active
192,00201440CM-999,Triple C Brewing Company,Triple C Brewing Company LLC,Cancelled,2900 Griffith Street,Charlotte,,28203,,,,,Mecklenburg,00201440BM,1/16/2013,Cancelled
,00201440CM-999,Triple C Brewing Company,Triple C Brewing Company LLC,Cancelled,2900 Griffith Street,Charlotte,,28203,,,,,Mecklenburg,00201440BW,1/16/2013,Cancelled
,00201440CM-999,Triple C Brewing Company,Triple C Brewing Company LLC,Cancelled,2900 Griffith Street,Charlotte,,28203,,,,,Mecklenburg,00201440DG,1/16/2013,Cancelled
193,00201578CM-999,Tobacco Road Distillers,Tobacco Road Distillers Inc,Cancelled,605 Warsaw Road,Clinton,,28328,504 Faison Hwy,Clinton,NC ,28328,Sampson,00201578DI,10/5/2012,Cancelled
194,00201877CM-999,Heist Brewery,Heist Brewing Company LLC,Active,2901 North Davidson Street Suite 200,Charlotte,,28205,,,,,Mecklenburg,00201877BM,1/16/2013,Active
,00201877CM-999,Heist Brewery,Heist Brewing Company LLC,Active,2901 North Davidson Street Suite 200,Charlotte,,28205,,,,,Mecklenburg,00201877BW,1/16/2013,Active
195,00201877CM-998,Heist Brewing Company,Heist Brewing Company LLC,Active,1033 Carter Avenue,Charlotte,,28206,2909 North Davidson Street Suite 200,Charlotte,NC ,28205,Mecklenburg,00262178BW,9/24/2018 13:23,Active
,00201877CM-998,Heist Brewing Company,Heist Brewing Company LLC,Active,1033 Carter Avenue,Charlotte,,28206,2909 North Davidson Street Suite 200,Charlotte,NC ,28205,Mecklenburg,00262178BM,9/24/2018 13:23,Active
,00201877CM-998,Heist Brewing Company,Heist Brewing Company LLC,Active,1033 Carter Avenue,Charlotte,,28206,2909 North Davidson Street Suite 200,Charlotte,NC ,28205,Mecklenburg,00262178DG,9/24/2018 13:23,Active
196,00202371CM-999,Brothers Vilgalys Spirits Company,Brothers Vilgalys Spirits LLC,Active,803 Ramseur Street Suite D,Durham,,27701,,,,,Durham,00202371DH,1/9/2013,Active
,00202371CM-999,Brothers Vilgalys Spirits Company,Brothers Vilgalys Spirits LLC,Active,803 Ramseur Street Suite D,Durham,,27701,,,,,Durham,00202371SE,9/1/2017 12:34,Active
,00202371CM-999,Brothers Vilgalys Spirits Company,Brothers Vilgalys Spirits LLC,Active,803 Ramseur Street Suite D,Durham,,27701,,,,,Durham,00202371DI,1/9/2013,Active
197,00203362CM-999,Blue Mountain Pizza,Danford Restaurant Group Inc,Active,55 North Main Street,Weaverville,,28787,,,,,Buncombe,00203362BM,1/9/2013,Active
,00203362CM-999,Blue Mountain Pizza,Danford Restaurant Group Inc,Active,55 North Main Street,Weaverville,,28787,,,,,Buncombe,00203362BW,1/9/2013,Active
198,00203861CM-999,Wicked Weed Brewing,Wicked Weed Brewing LLC,Cancelled,91 Biltmore Avenue,Asheville,,28801,,,,,Buncombe,00203861BW,10/21/2013,Cancelled
,00203861CM-999,Wicked Weed Brewing,Wicked Weed Brewing LLC,Cancelled,91 Biltmore Avenue,Asheville,,28801,,,,,Buncombe,00203861BM,10/21/2013,Cancelled
199,00203861CM-998,Wicked Weed Brewing ,Wicked Weed Brewing LLC,Cancelled,147 Cox Avenue,Asheville,,28801,91 Biltmore Avenue,Asheville,NC ,28801,Buncombe,00217667BM,10/1/2015,Cancelled
,00203861CM-998,Wicked Weed Brewing ,Wicked Weed Brewing LLC,Cancelled,147 Cox Avenue,Asheville,,28801,91 Biltmore Avenue,Asheville,NC ,28801,Buncombe,00217667DG,10/1/2015,Cancelled
,00203861CM-998,Wicked Weed Brewing ,Wicked Weed Brewing LLC,Cancelled,147 Cox Avenue,Asheville,,28801,91 Biltmore Avenue,Asheville,NC ,28801,Buncombe,00217667BW,10/21/2014,Cancelled
200,00203861CM-996,Wicked Weed Brewing,Wicked Weed Brewing LLC,Cancelled,145 Jacob Holm Way,Candler,,28715,91 Biltmore Avenue,Asheville,NC ,28801,Buncombe,00231259DG,9/9/2016 12:12,Cancelled
,00203861CM-996,Wicked Weed Brewing,Wicked Weed Brewing LLC,Cancelled,145 Jacob Holm Way,Candler,,28715,91 Biltmore Avenue,Asheville,NC ,28801,Buncombe,00231259BM,9/9/2016 12:12,Cancelled
,00203861CM-996,Wicked Weed Brewing,Wicked Weed Brewing LLC,Cancelled,145 Jacob Holm Way,Candler,,28715,91 Biltmore Avenue,Asheville,NC ,28801,Buncombe,00231259BW,9/9/2016 12:12,Cancelled
201,00203861CM-995,Wicked Weed Brewing and Cidery ,Wicked Weed Brewing LLC,Cancelled,95 Old Shoals Road,Arden,,28704,91 Biltmore Avenue,Asheville,NC ,28801,Buncombe,00242683BM,3/2/2017 13:04,Cancelled
,00203861CM-995,Wicked Weed Brewing and Cidery ,Wicked Weed Brewing LLC,Cancelled,95 Old Shoals Road,Arden,,28704,91 Biltmore Avenue,Asheville,NC ,28801,Buncombe,00242683DG,3/2/2017 13:04,Cancelled
,00203861CM-995,Wicked Weed Brewing and Cidery ,Wicked Weed Brewing LLC,Cancelled,95 Old Shoals Road,Arden,,28704,91 Biltmore Avenue,Asheville,NC ,28801,Buncombe,00237496BW,3/2/2017 13:05,Cancelled
202,00205411CM-999,Stout Brewing Company,Stout Brewing Company LLC,Active,518 North Sims Street,Kings Mountain,,28086,701 South Battleground Avenue,Grover,NC ,28073,Cleveland,00205411BW,7/15/2013,Active
,00205411CM-999,Stout Brewing Company,Stout Brewing Company LLC,Active,518 North Sims Street,Kings Mountain,,28086,701 South Battleground Avenue,Grover,NC ,28073,Cleveland,00205411BM,7/15/2013,Active
203,00205509CM-999,Raleigh Brewing Company,Raleigh Brewing Company,Active,3701 Neil Street Suite 3709,Raleigh,,27607,,,,,Wake,00205509BM,7/12/2013,Active
,00205509CM-999,Raleigh Brewing Company,Raleigh Brewing Company,Active,3701 Neil Street Suite 3709,Raleigh,,27607,,,,,Wake,00205509DG,7/12/2013,Active
,00205509CM-999,Raleigh Brewing Company,Raleigh Brewing Company,Active,3701 Neil Street Suite 3709,Raleigh,,27607,,,,,Wake,00205509BW,7/12/2013,Active
204,00205634CM-999,Beer Army Combat Brewery,Beer Army LLC,Cancelled,134 Industrial Park Drive,Trenton,,28585,,,,,Jones,00205634DG,5/7/2013,Cancelled
,00205634CM-999,Beer Army Combat Brewery,Beer Army LLC,Cancelled,134 Industrial Park Drive,Trenton,,28585,,,,,Jones,00205634BW,5/7/2013,Cancelled
,00205634CM-999,Beer Army Combat Brewery,Beer Army LLC,Cancelled,134 Industrial Park Drive,Trenton,,28585,,,,,Jones,00205634BM,5/7/2013,Cancelled
205,00205814CM-999,Appalachian Mountain Brewery,Appalachian Mountain Brewery LLC,Cancelled,163 Boone Creek Drive,Boone,,28607,,,,,Watauga,00205814WW,2/6/2014,Cancelled
,00205814CM-999,Appalachian Mountain Brewery,Appalachian Mountain Brewery LLC,Cancelled,163 Boone Creek Drive,Boone,,28607,,,,,Watauga,00205814WE,2/6/2014,Cancelled
,00205814CM-999,Appalachian Mountain Brewery,Appalachian Mountain Brewery LLC,Cancelled,163 Boone Creek Drive,Boone,,28607,,,,,Watauga,00205814DG,2/6/2014,Cancelled
,00205814CM-999,Appalachian Mountain Brewery,Appalachian Mountain Brewery LLC,Cancelled,163 Boone Creek Drive,Boone,,28607,,,,,Watauga,00205814BM,2/6/2014,Cancelled
,00205814CM-999,Appalachian Mountain Brewery,Appalachian Mountain Brewery LLC,Cancelled,163 Boone Creek Drive,Boone,,28607,,,,,Watauga,00205814UW,2/6/2014,Cancelled
,00205814CM-999,Appalachian Mountain Brewery,Appalachian Mountain Brewery LLC,Cancelled,163 Boone Creek Drive,Boone,,28607,,,,,Watauga,00205814BW,2/6/2014,Cancelled
206,00205940CM-999,Altamont Brewing Company,Altamont Brewing Company Inc,Cancelled,1042 Haywood Road,Asheville,,28806,,,,,Buncombe,00205940BM,5/6/2013,Cancelled
,00205940CM-999,Altamont Brewing Company,Altamont Brewing Company Inc,Cancelled,1042 Haywood Road,Asheville,,28806,,,,,Buncombe,00205940BW,5/6/2013,Cancelled
207,00205945CM-999,Deep River Brewing Company,Deep River Brewing Company LLC,Active,700 West Main Street Suite 102,Clayton,,27520,234 Autumn Ridge Drive,Wendell,NC ,27591,Johnston,00205945BM,5/9/2013,Active
,00205945CM-999,Deep River Brewing Company,Deep River Brewing Company LLC,Active,700 West Main Street Suite 102,Clayton,,27520,234 Autumn Ridge Drive,Wendell,NC ,27591,Johnston,00205945BW,5/9/2013,Active
,00205945CM-999,Deep River Brewing Company,Deep River Brewing Company LLC,Active,700 West Main Street Suite 102,Clayton,,27520,234 Autumn Ridge Drive,Wendell,NC ,27591,Johnston,00205945DG,5/31/2013,Active
208,00206638CM-999,Boondocks Brewing Tap Room and Restaurant,Boondocks Brewing LLC,Cancelled,108 South Jefferson Avenue,West Jefferson,,28694,PO Box 1619,West Jefferson,NC ,28694,Ashe,00206638BW,2/10/2014,Cancelled
,00206638CM-999,Boondocks Brewing Tap Room and Restaurant,Boondocks Brewing LLC,Cancelled,108 South Jefferson Avenue,West Jefferson,,28694,PO Box 1619,West Jefferson,NC ,28694,Ashe,00206638BM,2/10/2014,Cancelled
209,00206638CM-998,Boondocks Brewing,Boondocks Brewing LLC,Active,302 South Jefferson Avenue,West Jefferson,,28694,PO Box 1619,West Jefferson,NC ,28694,Ashe,00225612BM,9/29/2015 17:03,Active
,00206638CM-998,Boondocks Brewing,Boondocks Brewing LLC,Active,302 South Jefferson Avenue,West Jefferson,,28694,PO Box 1619,West Jefferson,NC ,28694,Ashe,00225612BW,9/29/2015 17:03,Active
210,00206945CM-999,Hi Wire Brewing,Three Ring Brewing Company LLC,Cancelled,197 Hilliard Avenue,Asheville,,28801,,,,,Buncombe,00206945BM,7/24/2013,Cancelled
,00206945CM-999,Hi Wire Brewing,Three Ring Brewing Company LLC,Cancelled,197 Hilliard Avenue,Asheville,,28801,,,,,Buncombe,00206945BW,7/24/2013,Cancelled
211,00207344CM-999,Whiskey Mill Bar and Grill,Whiskey Mill Bar and Grill LLC,Active,201 West Pennsylvania Avenue,Bessemer City,,28016,,,,,Gaston,00207344BM,10/1/2013,Active
,00207344CM-999,Whiskey Mill Bar and Grill,Whiskey Mill Bar and Grill LLC,Active,201 West Pennsylvania Avenue,Bessemer City,,28016,,,,,Gaston,00207344BW,10/1/2013,Active
,00207344CM-999,Whiskey Mill Bar and Grill,Whiskey Mill Bar and Grill LLC,Active,201 West Pennsylvania Avenue,Bessemer City,,28016,,,,,Gaston,00207344DG,10/1/2013,Active
212,00207399CM-999,Steel String,Steel String LLC,Active,106 South Greensboro Street Suite A,Carrboro,,27510,,,,,Orange,00207399BM,7/15/2013,Active
,00207399CM-999,Steel String,Steel String LLC,Active,106 South Greensboro Street Suite A,Carrboro,,27510,,,,,Orange,00207399DG,7/15/2013,Active
,00207399CM-999,Steel String,Steel String LLC,Active,106 South Greensboro Street Suite A,Carrboro,,27510,,,,,Orange,00207399BW,7/15/2013,Active
213,00207406CM-999,Carls Carolina,Petzold Distilleries LLC,Active,6461 Hwy 212,Marshall,,28753,,,,,Madison,00207406DI,10/1/2013,Active
,00207406CM-999,Carls Carolina,Petzold Distilleries LLC,Active,6461 Hwy 212,Marshall,,28753,,,,,Madison,00207406FA,10/1/2013,Active
214,00207451CM-999,New Sarum Brewing Company,New Sarum Brewing Company LLC,Cancelled,117 South Lee Street,Salisbury,,28144,329 South Church Street,Salisbury,NC ,28144,Rowan,00207451BW,7/15/2013,Cancelled
,00207451CM-999,New Sarum Brewing Company,New Sarum Brewing Company LLC,Cancelled,117 South Lee Street,Salisbury,,28144,329 South Church Street,Salisbury,NC ,28144,Rowan,00207451BM,7/15/2013,Cancelled
215,00207451CM-998,New Sarum Brewing Company,New Sarum Brewing Company LLC,Active,109 North Lee Street,Salisbury,,28144,,,,,Rowan,00236681BM,5/31/2017 11:55,Active
,00207451CM-998,New Sarum Brewing Company,New Sarum Brewing Company LLC,Active,109 North Lee Street,Salisbury,,28144,,,,,Rowan,00236681BW,5/31/2017 11:55,Active
,00207451CM-998,New Sarum Brewing Company,New Sarum Brewing Company LLC,Active,109 North Lee Street,Salisbury,,28144,,,,,Rowan,00236681DG,5/31/2017 11:55,Active
216,00207537CM-999,Lookout Brewing Company,Lookout Brewing Company,Active,103 South Ridgeway Avenue Suite 1,Black Mountain,,28711,,,,,Buncombe,00207537BW,7/24/2013,Active
,00207537CM-999,Lookout Brewing Company,Lookout Brewing Company,Active,103 South Ridgeway Avenue Suite 1,Black Mountain,,28711,,,,,Buncombe,00207537BM,7/24/2013,Active
,00207537CM-999,Lookout Brewing Company,Lookout Brewing Company,Active,103 South Ridgeway Avenue Suite 1,Black Mountain,,28711,,,,,Buncombe,00207537DG,7/24/2013,Active
217,00208675CM-999,Trophy Brewing,Grain Raleigh LLC,Cancelled,827 West Morgan Street,Raleigh,,27603,,,,,Wake,00208675BW,7/31/2013,Cancelled
,00208675CM-999,Trophy Brewing,Grain Raleigh LLC,Cancelled,827 West Morgan Street,Raleigh,,27603,,,,,Wake,00208675BM,7/31/2013,Cancelled
,00208675CM-999,Trophy Brewing,Grain Raleigh LLC,Cancelled,827 West Morgan Street,Raleigh,,27603,,,,,Wake,00208675DG,7/31/2013,Cancelled
218,00209134CM-999,Burial Beer Company,Burial Beer Company LLC,Active,40 Collier Avenue,Asheville,,28801,,,,,Buncombe,00209134DG,10/28/2013,Active
,00209134CM-999,Burial Beer Company,Burial Beer Company LLC,Active,40 Collier Avenue,Asheville,,28801,,,,,Buncombe,00209134BW,10/4/2013,Active
,00209134CM-999,Burial Beer Company,Burial Beer Company LLC,Active,40 Collier Avenue,Asheville,,28801,,,,,Buncombe,00209134BM,10/4/2013,Active
219,00209134CM-998,Burial Beer Company,Burial Beer Company LLC,Active,16 Shady Oak Drive,Asheville,,28803,40 Collier Avenue,Asheville,NC ,28805,Buncombe,00246237BM,8/9/2017 10:51,Active
,00209134CM-998,Burial Beer Company,Burial Beer Company LLC,Active,16 Shady Oak Drive,Asheville,,28803,40 Collier Avenue,Asheville,NC ,28805,Buncombe,00246237BW,8/9/2017 10:51,Active
220,00209261CM-999,Gizmo Brew Works,Roth Brewing Company LLC,Cancelled,5907 Triangle Drive,Raleigh,,27617,,,,,Wake,00209261DG,9/25/2013,Cancelled
,00209261CM-999,Gizmo Brew Works,Roth Brewing Company LLC,Cancelled,5907 Triangle Drive,Raleigh,,27617,,,,,Wake,00209261BW,9/25/2013,Cancelled
,00209261CM-999,Gizmo Brew Works,Roth Brewing Company LLC,Cancelled,5907 Triangle Drive,Raleigh,,27617,,,,,Wake,00209261BM,9/25/2013,Cancelled
221,00209451CM-999,Lynnwood Grill,Lynnwood Grill Inc,Active,4821 Grove Barton Road,Raleigh,,27613,1909 Banbury Road,Raleigh,NC ,27608,Wake,00209451BW,10/1/2013,Active
,00209451CM-999,Lynnwood Grill,Lynnwood Grill Inc,Active,4821 Grove Barton Road,Raleigh,,27613,1909 Banbury Road,Raleigh,NC ,27608,Wake,00209451DG,4/23/2014,Active
,00209451CM-999,Lynnwood Grill,Lynnwood Grill Inc,Active,4821 Grove Barton Road,Raleigh,,27613,1909 Banbury Road,Raleigh,NC ,27608,Wake,00209451BM,10/1/2013,Active
222,00209523CM-999,Oyster House Brewing Company,Bivalve Beverage Company LLC,Active,625 Haywood Road,Asheville,,28806,,,,,Buncombe,00209523BM,8/12/2013,Active
,00209523CM-999,Oyster House Brewing Company,Bivalve Beverage Company LLC,Active,625 Haywood Road,Asheville,,28806,,,,,Buncombe,00209523BW,8/12/2013,Active
,00209523CM-999,Oyster House Brewing Company,Bivalve Beverage Company LLC,Active,625 Haywood Road,Asheville,,28806,,,,,Buncombe,00236927DG,6/13/2016 8:36,Active
223,00209940CM-999,Front Street Brewery,Wilmington Brewers LLC,Active,9 North Front Street,Wilmington,,28401,,,,,New Hanover,00209940BW,10/1/2013,Active
