#,File Number,Trade Name,Corp Name,Business Status,Address,City,State,Zip,Mail Address,Mail City,Mail State,Mail Zip,County,Permit Number,Issue Date,Permit Status
40,-,Devils Logic Brewing  ,Axiom Brewing Company LLC   ,Pending-Temporary,1426 East 4th Street,Charlotte,,28204,,,,,Mecklenburg,,,
41,-,Hoots Beer Company  ,Roller Mills LLC,Pending-Temporary,840 Mill Works Street Suite 110,Winston Salem,,27101,,,,,Forsyth,,,
42,-,Local Oak Brewing Company ,Local Oak Brewing Company LLC  ,Pending-Temporary,2564 Railroad Street,Winterville,,28520,,,,,Pitt,,,
43,-,Armory Beer Company,Armory Beer Company Inc,Pending-Temporary,211 West Avenue,Kannapolis,,28081,5212 Shannamara Drive,Matthews,NC ,28104,Cabarrus,,,
44,-,Midsummer Brewing,Midsummer Brewing LLC,Pending-Temporary,8544 NC Hwy 89 Unit B,Westfield,,27053,,,,,Stokes,,,
45,-,Norse Brewing Company,Norse Brewing Company LLC,Pending-Temporary,203 Brooks Street,Wake Forest,,27587,924 Hidden Jewel Lane,Wake Forest,NC ,27587,Wake,,,
46,-,Gizmo Brew Works  ,Roth Brewing Company LLC  ,Pending-Temporary,5901 Triangle Drive,Raleigh,,27617,,,,,Wake,,,
47,-,Riverside Rhapsody Beer Company,Riverside Rhapsody Beer Company LLC,Pending-Temporary,995 Riverside Drive,Asheville,,28804,PO Box 2903,Weaverville,NC ,28787,Buncombe,,,
48,-,Maniacal Beer Project,Maniacal Beer Project LLC,Pending-Temporary,209 Technology Park Lane,Fuquay Varina,,27526,,,,,Wake,,,
49,-,Weldon Mills Distillery and Club,Weldon Mills Distillery LLC,Pending-Temporary,100-200 Rockfish Drive,Weldon,,27890,2435 South Alston Avenue,Durham,NC ,27713,Halifax,,,
50,-,E O D Distillery,E O D Distillery LLC,Pending-Temporary,1815 Castle Street,Wilmington,,28403,PO Box 10967,Wilmington,NC ,28404,New Hanover,,,
51,-,Mason Inlet Distillery,Mason Inlet Distillery LLC,Pending-Temporary,6420 Amsterdam Way Suite G,Wilmington,,28405,,,,,New Hanover,,,
52,-,New Belgium Brewing Company,New Belgium Brewing Company Inc,Pending-Temporary,91 Craven Street,Asheville ,,28806,500 Linden Street,Fort Collins,CO ,80524,Buncombe,,,
53,00081210CM-999,Two Moons Brew N View,Avanother Inc,Cancelled,675 Merrimon Avenue,Asheville,,28804,,,,,Buncombe,00081210BM,1/26/1998,Cancelled
54,00081271CM-999,Catawba Valley Brewing Company,Catawba Valley Brewing Company,Cancelled,204 East Main Street,Glen Alpine,,28628,PO Box 1154,Glen Alpine,NC ,28628,Burke,00081271BM,7/17/1998,Cancelled
,00081271CM-999,Catawba Valley Brewing Company,Catawba Valley Brewing Company,Cancelled,204 East Main Street,Glen Alpine,,28628,PO Box 1154,Glen Alpine,NC ,28628,Burke,00081271BW,7/17/1998,Cancelled
55,00081271CM-998,Catawba Valley Brewing Company,Catawba Valley Brewing Company,Active,212 South Green Street,Morganton,,28655,,,,,Burke,00150312BM,8/23/2007,Active
,00081271CM-998,Catawba Valley Brewing Company,Catawba Valley Brewing Company,Active,212 South Green Street,Morganton,,28655,,,,,Burke,00081271UW,7/13/2015 12:31,Active
,00081271CM-998,Catawba Valley Brewing Company,Catawba Valley Brewing Company,Active,212 South Green Street,Morganton,,28655,,,,,Burke,00081271DS,7/13/2015 12:31,Active
,00081271CM-998,Catawba Valley Brewing Company,Catawba Valley Brewing Company,Active,212 South Green Street,Morganton,,28655,,,,,Burke,00081271WW,7/13/2015 12:31,Active
,00081271CM-998,Catawba Valley Brewing Company,Catawba Valley Brewing Company,Active,212 South Green Street,Morganton,,28655,,,,,Burke,00081271WE,7/13/2015 12:31,Active
,00081271CM-998,Catawba Valley Brewing Company,Catawba Valley Brewing Company,Active,212 South Green Street,Morganton,,28655,,,,,Burke,00150312BW,8/23/2007,Active
,00081271CM-998,Catawba Valley Brewing Company,Catawba Valley Brewing Company,Active,212 South Green Street,Morganton,,28655,,,,,Burke,00081271DG,9/22/2010,Active
56,00081271CM-997,Catawba Valley Brewing Company,Catawba Valley Brewing Company,Active,32 Banks Avenue Suite 105,Asheville,,28801,,,,,Buncombe,00236617BM,11/15/2016 15:13,Active
,00081271CM-997,Catawba Valley Brewing Company,Catawba Valley Brewing Company,Active,32 Banks Avenue Suite 105,Asheville,,28801,,,,,Buncombe,00236617BW,11/15/2016 15:13,Active
,00081271CM-997,Catawba Valley Brewing Company,Catawba Valley Brewing Company,Active,32 Banks Avenue Suite 105,Asheville,,28801,,,,,Buncombe,00236617DG,11/15/2016 15:13,Active
57,00081271CM-996,Catawba Valley Brewing Company,Catawba Valley Brewing Company,Active,933 Louise Avenue Suite 105,Charlotte,,28204,,,,,Mecklenburg,00251894BM,10/5/2017 10:28,Active
,00081271CM-996,Catawba Valley Brewing Company,Catawba Valley Brewing Company,Active,933 Louise Avenue Suite 105,Charlotte,,28204,,,,,Mecklenburg,00251894BW,10/5/2017 10:28,Active
